current_path,class_name,extends,abstract,final,interface,referenced_by_string_in_files
"C:\Apache24\htdocs\piwigo16/include/ws_core.inc.php",PwgNamedStruct,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_core.inc.php",PwgRequestHandler,,1,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_core.inc.php",PwgResponseEncoder,,1,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_core.inc.php",PwgServer,,0,0,0,"C:\Apache24\htdocs\piwigo16/include\ws_core.inc.php"
"C:\Apache24\htdocs\piwigo16/include/ws_protocols/json_encoder.php",PwgJsonEncoder,PwgResponseEncoder,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_protocols/php_encoder.php",PwgSerialPhpEncoder,PwgResponseEncoder,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_protocols/rest_encoder.php",PwgXmlWriter,,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_protocols/rest_encoder.php",PwgRestEncoder,PwgResponseEncoder,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_protocols/rest_handler.php",PwgRestRequestHandler,PwgRequestHandler,0,0,0,
"C:\Apache24\htdocs\piwigo16/include/ws_protocols/xmlrpc_encoder.php",PwgXmlRpcEncoder,PwgResponseEncoder,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/c13y_internal.class.php",c13y_internal,,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/check_integrity.class.php",check_integrity,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin\include\check_integrity.class.php"
"C:\Apache24\htdocs\piwigo16/admin/include/image.class.php",imageInterface,,0,0,1,
"C:\Apache24\htdocs\piwigo16/admin/include/image.class.php",pwg_image,,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/image.class.php",image_imagick,,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/image.class.php",image_ext_imagick,,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/image.class.php",image_gd,,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/languages.class.php",languages,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin.php|C:\Apache24\htdocs\piwigo16/admin\include\add_core_tabs.inc.php|C:\Apache24\htdocs\piwigo16/admin\include\functions.php|C:\Apache24\htdocs\piwigo16/admin\include\functions_upgrade.php|C:\Apache24\htdocs\piwigo16/admin\include\updates.class.php|C:\Apache24\htdocs\piwigo16/admin\languages.php|C:\Apache24\htdocs\piwigo16/admin\languages_installed.php|C:\Apache24\htdocs\piwigo16/admin\languages_new.php|C:\Apache24\htdocs\piwigo16/include\constants.php|C:\Apache24\htdocs\piwigo16/include\ws_functions\pwg.extensions.php|C:\Apache24\htdocs\piwigo16/install\db\103-database.php"
"C:\Apache24\htdocs\piwigo16/admin/include/plugins.class.php",DummyPlugin_maintain,PluginMaintain,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/plugins.class.php",plugins,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin.php|C:\Apache24\htdocs\piwigo16/admin\include\add_core_tabs.inc.php|C:\Apache24\htdocs\piwigo16/admin\include\functions_upgrade.php|C:\Apache24\htdocs\piwigo16/admin\include\updates.class.php|C:\Apache24\htdocs\piwigo16/admin\plugins.php|C:\Apache24\htdocs\piwigo16/admin\plugins_installed.php|C:\Apache24\htdocs\piwigo16/admin\plugins_new.php|C:\Apache24\htdocs\piwigo16/include\constants.php|C:\Apache24\htdocs\piwigo16/include\functions.inc.php|C:\Apache24\htdocs\piwigo16/include\ws_functions\pwg.extensions.php|C:\Apache24\htdocs\piwigo16/install\db\103-database.php|C:\Apache24\htdocs\piwigo16/install\db\65-database.php|C:\Apache24\htdocs\piwigo16/upgrade.php"
"C:\Apache24\htdocs\piwigo16/admin/include/tabsheet.class.php",tabsheet,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin\include\tabsheet.class.php"
"C:\Apache24\htdocs\piwigo16/admin/include/themes.class.php",DummyTheme_maintain,ThemeMaintain,0,0,0,
"C:\Apache24\htdocs\piwigo16/admin/include/themes.class.php",themes,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin.php|C:\Apache24\htdocs\piwigo16/admin\extend_for_templates.php|C:\Apache24\htdocs\piwigo16/admin\include\add_core_tabs.inc.php|C:\Apache24\htdocs\piwigo16/admin\include\functions.php|C:\Apache24\htdocs\piwigo16/admin\include\functions_install.inc.php|C:\Apache24\htdocs\piwigo16/admin\include\functions_upgrade.php|C:\Apache24\htdocs\piwigo16/admin\include\updates.class.php|C:\Apache24\htdocs\piwigo16/admin\themes.php|C:\Apache24\htdocs\piwigo16/admin\themes_installed.php|C:\Apache24\htdocs\piwigo16/admin\themes_new.php|C:\Apache24\htdocs\piwigo16/admin\themes_standard_pages.php|C:\Apache24\htdocs\piwigo16/include\common.inc.php|C:\Apache24\htdocs\piwigo16/include\config_default.inc.php|C:\Apache24\htdocs\piwigo16/include\constants.php|C:\Apache24\htdocs\piwigo16/include\functions.inc.php|C:\Apache24\htdocs\piwigo16/include\functions_mail.inc.php|C:\Apache24\htdocs\piwigo16/include\no_photo_yet.inc.php|C:\Apache24\htdocs\piwigo16/include\template.class.php|C:\Apache24\htdocs\piwigo16/include\ws_functions\pwg.extensions.php|C:\Apache24\htdocs\piwigo16/install\db\103-database.php|C:\Apache24\htdocs\piwigo16/upgrade.php"
"C:\Apache24\htdocs\piwigo16/admin/include/updates.class.php",updates,,0,0,0,"C:\Apache24\htdocs\piwigo16/admin.php|C:\Apache24\htdocs\piwigo16/admin\include\add_core_tabs.inc.php|C:\Apache24\htdocs\piwigo16/admin\include\functions.php|C:\Apache24\htdocs\piwigo16/admin\include\updates.class.php|C:\Apache24\htdocs\piwigo16/admin\updates.php|C:\Apache24\htdocs\piwigo16/admin\updates_ext.php|C:\Apache24\htdocs\piwigo16/include\functions.inc.php"
