ExposureModeInManual	Partial metering	Blokové
ExposureModeInManual	Spot metering	Středový bod
ExposureProgram	Action (High speed)	Akční program (ovlivněný čas závěrky)
ExposureProgram	Aperture Priority	Priorita clony
ExposureProgram	Aperture-priority AE	Priorita clony
ExposureProgram	Bulb	Žárovka
ExposureProgram	Creative (Slow speed)	Kreativní program (ovlivněná hloubka ostrosti)
ExposureProgram	Landscape	Krajina
ExposureProgram	Manual	Manuální
ExposureProgram	Not Defined	Nedefinovaný
ExposureProgram	Portrait	Portrét
ExposureProgram	Program AE	Normální program
ExposureProgram	Shutter Priority	Priorita času
ExposureProgram	Shutter speed priority AE	Priorita času
FaceOrientation	Horizontal (normal)	0° (nahoru/vlevo)
FaceOrientation	Rotate 180	180° (dolů/vpravo)
FaceOrientation	Rotate 270 CW	90° po směru HR (vlevo/dolů)
FaceOrientation	Rotate 90 CW	90° ptoti směru HR (vpravo/nahoru)
FaxProfile	Unknown	Neznámý
FileSource	Digital Camera	Digitální fotoaparát
FileSource	Film Scanner	Filmový skener
FileSource	Reflection Print Scanner	Skener
FillOrder	Normal	Normální
FilterEffect	None	Žádná
FilterEffectMonochrome	None	Žádná
Flash	Auto, Did not fire	Blesk nepoužit, auto mod
Flash	Auto, Did not fire, Red-eye reduction	Auto mod, nepoužit, redukce červených očí
Flash	Auto, Fired	Blesk použit, auto mod
Flash	Auto, Fired, Red-eye reduction	Blesk použit, auto mod, redukce červených očí
Flash	Auto, Fired, Red-eye reduction, Return detected	Blesk použit, auto mod, redukce červených očí, odraz detekován
Flash	Auto, Fired, Red-eye reduction, Return not detected	Blesk použit, auto mod, redukce červených očí, odraz nezjištěn
Flash	Auto, Fired, Return detected	Blesk použit, auto mod, odraz detekován
Flash	Auto, Fired, Return not detected	Blesk použit, auto mod, odraz nedetekován
Flash	Did not fire	Blesk ne
Flash	Fired	Blesk ano
Flash	Fired, Red-eye reduction	Blesk použit, redukce červených očí
Flash	Fired, Red-eye reduction, Return detected	Blesk použit, redukce červených očí, odraz detekován
Flash	Fired, Red-eye reduction, Return not detected	Blesk použit, redukce červených očí, odraz nezjištěn
